experiment_id,component,avg_cpu_per_pod,avg_mem_per_pod,peak_cpu_per_pod,peak_mem_per_pod,total_pods
2,activator,0.05836797996411483,0.004307782932313256,0.244,0.027408682408650433,8
2,autoscaler,0.0017039473684210527,0.0009878040300596207,0.01025,0.0016450038419497624,2
2,controller,0.0017679276315789474,0.0023313016803691525,0.0215,0.005907795688015063,8
2,webhook,0.000928125,0.0016211221062453767,0.0045,0.0038672840022392517,4
5,activator,0.06766149068322981,0.0038506625548622143,0.1265,0.007576163787993347,7
5,autoscaler,0.001065217391304348,0.0009457455698573114,0.0025,0.0014799623380699343,2
5,controller,0.0011215692934782608,0.0023504266071890027,0.0055,0.005805720863479227,8
5,webhook,0.0008118206521739131,0.0016734528686373816,0.0025,0.0038776144689500604,4
6,activator,0.013281746031746032,0.014781435948857339,0.0855,0.03566372264762975,7
6,autoscaler,0.0034625000000000003,0.0011422878985479813,0.00925,0.002122910909071232,2
6,controller,0.0054025568181818185,0.002510671965765897,0.05975,0.006426286603970588,8
6,webhook,0.00165,0.0016798163769844998,0.00825,0.0038849933737434956,4
7,activator,0.037412477954144624,0.010132029884837546,0.2365,0.03592641165827603,9
7,autoscaler,0.004526785714285714,0.0012148135884748194,0.02375,0.002248352290559626,2
7,controller,0.005814732142857143,0.002546667432586994,0.07425,0.006562550345640114,8
7,webhook,0.0018392857142857143,0.001694884384586669,0.00975,0.003897537511892335,4
8,activator,0.016944177350427348,0.01586132376754996,0.698,0.04067522881983764,9
8,autoscaler,0.003798076923076923,0.0011202726130439954,0.02775,0.0023105799176809786,2
8,controller,0.0032201923076923076,0.0025796142756129145,0.051,0.006716031527592793,8
8,webhook,0.00117239010989011,0.0017035741508129752,0.007,0.003918444408807067,4
9,activator,0.031236810064935068,0.013003170057788777,0.133,0.03490564599082163,14
9,autoscaler,0.004364583333333333,0.0012853846130138952,0.0245,0.002478574120114796,2
9,controller,0.006422916666666666,0.0026060813003096353,0.06725,0.006716031527592793,8
9,webhook,0.001619791666666667,0.0016949216698137761,0.0085,0.003899505219837251,4
10,activator,0.013065972222222224,0.01610532145084624,0.13175,0.04219725091523016,12
10,autoscaler,0.0055625,0.0013127803060079507,0.022,0.002482754278163913,2
10,controller,0.005956875,0.0026117115050335775,0.04825,0.006704225282827202,8
10,webhook,0.001825,0.0017040883946670602,0.0115,0.0039049164166857697,4
11,activator,0.031472861552028226,0.017318191676169693,0.16525,0.03536485960656683,9
11,autoscaler,0.0038625,0.001228587542495541,0.01975,0.0024224944436846904,2
11,controller,0.004822916666666666,0.0025826121158081063,0.0325,0.0066171542276809705,8
11,webhook,0.00184375,0.0017023320390778126,0.01075,0.003901718891275281,4
12,activator,0.011542162698412697,0.017427198152404746,0.051,0.062322445190751974,12
12,autoscaler,0.0034125,0.0012480304482977611,0.01475,0.0023976509514109195,2
12,controller,0.004242613636363636,0.002610926819811459,0.0395,0.006811219376015368,8
12,webhook,0.00134375,0.001705940652536844,0.00575,0.0039056543071651134,4
