language,rps,Min,25%,Median,75%,Max,Std
go,10000,0.0,0.0,0.0,1.0,55.0,0.61
go,11000,0.0,1.0,1.0,9.0,29463.0,1322.09
go,12000,0.0,1.0,3.0,18.0,29999.0,2819.26
python,10000,2.0,1590.0,2966.0,5525.0,30323.0,6239.53
python,11000,2.0,3111.0,6343.0,12154.0,29999.0,7776.19
python,12000,2.0,3254.0,7028.0,16197.0,30281.0,8363.0
rust,10000,0.0,1.0,4.0,13.0,25894.0,51.97
rust,11000,0.0,2.0,30.0,1686.0,29955.0,1899.63
springboot,10000,2.0,3809.0,8984.0,18206.0,30000.0,8792.19
springboot,11000,3.0,8123.0,14920.0,21329.25,31780.0,8158.61
ts,11000,0.0,528.0,5556.0,16476.0,30022.0,9244.15
